trip_id,arrival_time,departure_time,stop_id,stop_sequence
WF_11,19:00:00,19:00:00,55_58,40
WF_11,19:08:00,19:08:00,56,41
WF_12,18:00:00,18:00:00,106_171,1
WF_12,18:05:00,18:05:00,14,2
WF_12,18:06:00,18:06:00,16,3
WF_12,18:07:00,18:07:00,17,4
WF_12,18:08:00,18:08:00,18,5
WF_12,18:09:00,18:09:00,19,6
WF_12,18:10:00,18:10:00,20,7
WF_12,18:12:00,18:12:00,21,8
WF_12,18:13:00,18:13:00,22,9
WF_12,18:14:00,18:14:00,23,10
WF_12,18:15:00,18:15:00,24,11
WF_12,18:16:00,18:16:00,25,12
WF_12,18:17:00,18:17:00,26,13
WF_12,18:18:00,18:18:00,27_92,14
WF_12,18:20:00,18:20:00,28,15
WF_12,18:22:00,18:22:00,29_88,16
WF_12,18:24:00,18:24:00,30,17
WF_12,18:26:00,18:26:00,31,18
WF_12,18:38:00,18:38:00,32,19
WF_12,18:39:00,18:39:00,33,20
WF_12,18:40:00,18:40:00,34,21
WF_12,18:46:00,18:46:00,35_80,22
WF_12,18:57:00,18:57:00,36,23
WF_12,19:01:00,19:01:00,37,24
WF_12,19:07:00,19:07:00,38_73,25
WF_12,19:16:00,19:16:00,40_71,26
WF_12,19:20:00,19:20:00,41_68,27
WF_12,19:22:00,19:22:00,42,28
WF_12,19:25:00,19:25:00,43_67,29
WF_12,19:32:00,19:32:00,44_66,30
WF_12,19:33:00,19:33:00,46,31
WF_12,19:34:00,19:34:00,47,32
WF_12,19:35:00,19:35:00,45,33
WF_12,19:41:00,19:41:00,48_65,34
WF_12,19:42:00,19:42:00,49_64,35
WF_12,19:49:00,19:49:00,50_63,36
WF_12,19:50:00,19:50:00,51,37
WF_12,19:51:00,19:51:00,53_60,38
WF_12,19:56:00,19:56:00,54_59,39
WF_12,20:00:00,20:00:00,55_58,40
WF_12,20:08:00,20:08:00,56,41
FW_1,9:20:00,9:20:00,55_58,42
FW_1,9:25:00,9:25:00,54_59,43
FW_1,9:32:00,9:32:00,53_60,44
FW_1,9:33:00,9:33:00,61,45
FW_1,9:34:00,9:34:00,50_63,46
FW_1,9:41:00,9:41:00,49_64,47
FW_1,9:43:00,9:43:00,48_65,48
FW_1,9:50:00,9:50:00,44_66,49
FW_1,9:57:00,9:57:00,43_67,50
FW_1,10:00:00,10:00:00,41_68,51
FW_1,10:02:00,10:02:00,69,52
FW_1,10:06:00,10:06:00,70,53
FW_1,10:15:00,10:15:00,40_71,54
FW_1,10:21:00,10:21:00,72,55
FW_1,10:22:00,10:22:00,38_73,56
FW_1,10:23:00,10:23:00,74,57
FW_1,10:25:00,10:25:00,75,58
FW_1,10:26:00,10:26:00,76,59
FW_1,10:28:00,10:28:00,77,60
FW_1,10:30:00,10:30:00,78,61
FW_1,10:32:00,10:32:00,79,62
FW_1,10:36:00,10:36:00,35_80,63
FW_1,10:38:00,10:38:00,81,64
FW_1,10:42:00,10:42:00,83,65
FW_1,10:50:00,10:50:00,85,66
FW_1,10:52:00,10:52:00,86,67
FW_1,10:55:00,10:55:00,87,68
FW_1,11:00:00,11:00:00,29_88,69
FW_1,11:02:00,11:02:00,91,70
FW_1,11:04:00,11:04:00,27_92,71
FW_1,11:05:00,11:05:00,93,72
FW_1,11:06:00,11:06:00,94,73
FW_1,11:06:30,11:06:30,95,74
FW_1,11:08:00,11:08:00,96,75
FW_1,11:09:00,11:09:00,97,76
FW_1,11:10:00,11:10:00,98,77
FW_1,11:12:00,11:12:00,99,78
FW_1,11:14:00,11:14:00,100,79
FW_1,11:15:00,11:15:00,101,80
FW_1,11:15:30,11:15:30,102,81
FW_1,11:16:00,11:16:00,103,82
FW_1,11:17:00,11:17:00,104,83
FW_1,11:22:00,11:22:00,11,84
FW_1,11:24:00,11:24:00,106_171,85
FW_2,10:20:00,10:20:00,55_58,42
FW_2,10:25:00,10:25:00,54_59,43
FW_2,10:32:00,10:32:00,53_60,44
FW_2,10:33:00,10:33:00,61,45
FW_2,10:34:00,10:34:00,50_63,46
FW_2,10:41:00,10:41:00,49_64,47
FW_2,10:43:00,10:43:00,48_65,48
FW_2,10:50:00,10:50:00,44_66,49
FW_2,10:57:00,10:57:00,43_67,50
FW_2,11:00:00,11:00:00,41_68,51
